Instrument,Name,Email,Phone,Website,Keyword Type,Keyword
Bertec Vision Advantage,Eyedoctor,N/A,702-212-7755,https://eyedoctor.io/optician/advantage-family-optical-las-vegas-nv/,Healthcare,appointment
Bertec Vision Advantage,Advancedvisioninstitute,N/A,702.819.9800,https://www.advancedvisioninstitute.net/,Healthcare,appointment
Bertec Vision Advantage,Goodshepherdrehab,N/A,1-888-447-3422,https://www.goodshepherdrehab.org/technology/bertec-balance-advantage-system/,Healthcare,appointment
Bertec Vision Advantage,Scholarworks Calstate,N/A,N/A,https://scholarworks.calstate.edu/concern/theses/7p88ch996,Healthcare,clinic
Bertec Vision Advantage,Missouristate,Info@MissouriState.edu,N/A,https://www.missouristate.edu/PhysicalTherapy/facilities-and-resources.htm,Healthcare,patients
Bertec Vision Advantage,Onesourcedocs,N/A,18007013560,https://www.onesourcedocs.com/documents-html/bertec-corporation-balance-advantage-static-system-cleaning-and-maintenance-user-manual-vision-advantage-bertec-corporation.html,Healthcare,services
Bertec Vision Advantage,Dc Uwm,scholarlycommunicationteam-group@uwm.edu,N/A,https://dc.uwm.edu/uwsurca/2019/Posters/118/,Healthcare,patients
Bertec Vision Advantage,Californiatherapysolutions,N/A,949-722-7374,https://www.californiatherapysolutions.com/neurologic,Healthcare,appointment
Bertec Vision Advantage,Uknowledge Uky,N/A,N/A,https://uknowledge.uky.edu/cgi/viewcontent.cgi?article=1000&context=smri_facpub,N/A,N/A
Bertec Vision Advantage,Scholarworks Calstate,N/A,N/A,https://scholarworks.calstate.edu/downloads/6m311q76r?locale=en,N/A,N/A
Bertec Vision Advantage,Uknowledge Uky,N/A,N/A,https://uknowledge.uky.edu/cgi/viewcontent.cgi?article=1068&context=rehabsci_etds,Healthcare,patients
Bertec Portable Essential,Healthcare Utah,N/A,+18015812668,https://healthcare.utah.edu/locations/sugar-house/rehab-therapy/brain-injury-wellness,Healthcare,patients
Bertec Portable Essential,Withpower,hello@withpower.com,4159004227,https://www.withpower.com/trial/phase-motion-sickness-10-2023-02743,Healthcare,patients
Bertec Portable Essential,Onesourcedocs,N/A,18007013560,https://www.onesourcedocs.com/documents-html/bertec-corporation-balance-advantage-static-system-cleaning-and-maintenance-user-manual-balance-advantage-portable-essential-bertec-corporation.html,Healthcare,services
Bertec Portable Essential,Onesourcedocs,N/A,18007013560,https://www.onesourcedocs.com/documents-html/bertec-corporation-balance-advantage-static-system-user-manual-balance-advantage-portable-essential-bertec-corporation.html,Healthcare,services
Bertec Portable Essential,Boilerplate Emory,georgiactsa@emory.edu,N/A,https://boilerplate.emory.edu/,Healthcare,appointment
Bertec Balance Advantage,Goodshepherdrehab,N/A,1-888-447-3422,https://www.goodshepherdrehab.org/technology/bertec-balance-advantage-system/,Healthcare,appointment
Bertec Balance Advantage,Scholarworks Calstate,N/A,N/A,https://scholarworks.calstate.edu/concern/theses/7p88ch996,Healthcare,clinic
Bertec Balance Advantage,Sites Uwm,N/A,N/A,https://sites.uwm.edu/mobilitylab/research/lab-equipment/,Healthcare,clinic
Bertec Balance Advantage,Onesourcedocs,N/A,18007013560,https://www.onesourcedocs.com/documents-html/bertec-corporation-balance-advantage-static-system-cleaning-and-maintenance-user-manual-balance-advantage-dynamic-cdp-bertec-corporation.html,Healthcare,services
Bertec Balance Advantage,Missouristate,Info@MissouriState.edu,N/A,https://www.missouristate.edu/PhysicalTherapy/facilities-and-resources.htm,Healthcare,patients
Bertec Balance Advantage,Marshallhealthnetwork,N/A,304.526.1333,https://www.marshallhealthnetwork.org/centers-of-care/marshall-health-network-balance-center/,Healthcare,schedule an appointment
Bertec Balance Advantage,Dc Uwm,scholarlycommunicationteam-group@uwm.edu,N/A,https://dc.uwm.edu/uwsurca/2018/Posters/34/,Healthcare,clinic
Bertec Balance Advantage,Fyzical,N/A,(616) 209-9694,https://www.fyzical.com/holland/blog/The-future-is-now-Bertec-Balance-Advantage-Dynamic-CDP-System-Feeling-off-balance-or-simply-looking-for-ways-to-improve-your-athletic-performance-Improving-your-balance-or-performance-can-take-time-practice-and-sometimes-even-technology.-The-Rehab,Healthcare,patients
Bertec Balance Advantage,Mchhs Missouristate,Info@MissouriState.edu,N/A,https://mchhs.missouristate.edu/Facilities.htm,Healthcare,patients
Bertec Balance Advantage,Unlv,physical.therapy@unlv.edu,+17028953011,https://www.unlv.edu/pt/research,Healthcare,clinic
Bertec Balance Advantage,Scholarsrepository Llu,N/A,N/A,https://scholarsrepository.llu.edu/etd/487/,Healthcare,physical therapy
Bertec Balance Advantage,Ptcasdirectory Apta,abehlen@csufresno.edu,+1 559.278.2625,https://ptcasdirectory.apta.org/372/California-State-University-Fresno,Healthcare,clinic
Bertec Balance Advantage,Marshallhealthnetwork,N/A,304.526.1333,https://marshallhealthnetwork.org/centers-of-care/marshall-health-network-balance-center/,Healthcare,schedule an appointment
Bertec Balance Advantage,Marshallhealthnetwork,N/A,304.526.1333,https://marshallhealthnetwork.org/centers-of-care/marshall-health-network-balance-center/,Healthcare,schedule an appointment
Bertec Balance Advantage,Marshallhealthnetwork,N/A,304.526.1333,https://marshallhealthnetwork.org/centers-of-care/marshall-health-network-balance-center/,Healthcare,schedule an appointment
Bertec Balance Advantage,Pittplusme,,1-866-438-8230,https://pittplusme.org/study/2475,Healthcare,clinic
Bertec Balance Advantage,Pittplusme,,1-866-438-8230,https://pittplusme.org/study/2475,Healthcare,clinic
Bertec Balance Advantage,Epublications Marquette,N/A,N/A,https://epublications.marquette.edu/cgi/viewcontent.cgi?article=1604&context=bioengin_fac,N/A,N/A
NeuroCom SMART Balance Master,Sralab,,1-800-354-7342,https://www.sralab.org/rehabilitation-measures/sensory-organization-test,Healthcare,appointment
NeuroCom SMART Balance Master,Scholarworks Calstate,N/A,N/A,https://scholarworks.calstate.edu/concern/theses/7p88ch996,Healthcare,clinic
NeuroCom SMART Balance Master,Umms,N/A,443-643-3980,https://www.umms.org/uch/health-services/rehabilitation/specialty-programs/balance-rehabilitation,Healthcare,appointment
NeuroCom SMART Balance Master,Saintlukeskc,N/A,816-932-3344,https://www.saintlukeskc.org/condition/vestibular-balance-rehabilitation,Healthcare,appointment
NeuroCom SMART Balance Master,Bakerrehabgroup,N/A,18667273422,https://www.bakerrehabgroup.com/2017/01/equipment-spotlight-the-neurocom-balance-system/,Healthcare,patients
NeuroCom SMART Balance Master,Rhirehab,N/A,13173292000,https://www.rhirehab.com/our-programs/outpatient/specialized-outpatient-programs/vestibular-balance-retraining/,Healthcare,schedule an appointment
NeuroCom SMART Balance Master,Onesourcedocs,N/A,18007013560,https://www.onesourcedocs.com/documents-html/natus-neurocom-balance-manager-systems-ifu-smart-balance-master-natus.html,Healthcare,services
NeuroCom SMART Balance Master,Impulss,info@impulss.eu,+37253442142,https://impulss.eu/methods/balance-master,Healthcare,appointment
NeuroCom SMART Balance Master,Shu,N/A,N/A,https://www.shu.edu/gait-motion-analysis-laboratory/equipment-listing.html,Healthcare,patients
NeuroCom SMART Balance Master,Health Oregonstate,N/A,N/A,https://health.oregonstate.edu/kinesiology/labs/biomechanics-laboratory,Healthcare,clinic
