Instrument,Name,Email,Phone,Website,First Keyword
NeuroCom EquiTest,,N/A,N/A,https://id-id.facebook.com/nationaldizzyandbalancecenter/videos/at-ndbc-we-use-neurocoms-smart-equitest-computerized-dynamic-posturography-to-ob/255943468604159/,vestibular
NeuroCom SMART Balance Master,,N/A,N/A,https://www.facebook.com/dizzypt/videos/neurocom-balance-master-for-testing-training/10152735120932190/,vestibular
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/gsrehab/posts/following-a-concussion-or-other-brain-injury-it-is-common-to-experience-balance-/10157229839961934/,concussion
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/bertecHQ/posts/featured-at-the-2019-concussion-health-summit-portable-essential-vision-trainer-/390828311585201/,concussion
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/FGCURehabSciences/posts/over-the-weekend-the-pt-neuro-student-interest-group-visited-lee-health-coconut-/5752688518095307/,gait
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/missouristateu/videos/living-a-balanced-life/10155774024033716/,fall
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/UCRISE/videos/ucrise-launches-australian-first-balance-technology-to-knock-concussion/1937212059623638/,concussion
Bertec Vision Advantage,,N/A,N/A,https://www.facebook.com/people/Advantage-Eye-Centers/100063822016961/,fall
Bertec Portable Essential,,N/A,N/A,https://www.facebook.com/360neurohealth/videos/bertec-sponsor-of-virtual-vestibular-health-summit/225746148741555/,vestibular
litegait,,N/A,N/A,https://www.facebook.com/litegait/videos/as-summer-comes-to-a-close-we-wanted-to-take-a-look-back-at-some-of-the-stand-ou/195758989158422/,gait
litegait,,N/A,N/A,https://www.facebook.com/REACTdallas/videos/corey-makin-it-happen-in-the-litegait-today-walkhard-workworkwork-beatparalysis-/1036677739737004/,gait
litegait,,N/A,N/A,https://www.facebook.com/weatherfordregionalhospital/videos/litegait/10154377351478309/,gait
Ekso Indego,,N/A,N/A,https://www.facebook.com/RoyalBucksHospital/videos/the-ekso-indego-exoskeleton-used-at-the-royal-buckinghamshire-hospital-enables-i/283385087800157/,gait
Ekso Indego,,N/A,N/A,https://www.facebook.com/EksoBionics/videos/eksonr-with-gaitcoach-is-designed-to-support-and-enhance-rehabilitation-for-pati/1164876671219804/?extid=reels,gait
Rewalk,,N/A,N/A,https://www.facebook.com/WesternMoMed/videos/jeff-carneal-walked-for-the-first-time-in-17-years-he-has-worked-with-wmmcs-reha/2235786616547760/,fall
Rewalk,,N/A,N/A,https://www.facebook.com/ReWalk/videos/its-more-than-walking/435195074949915/,gait
Rewalk,,N/A,N/A,https://www.facebook.com/SunnyviewRehabilitationHospital/videos/rewalk-graduation-day/368703117964945/,fall
Lokomat,,N/A,N/A,https://www.facebook.com/AlbertonRehab/videos/what-is-lokomat-therapylokomat-is-a-therapy-that-enables-relearning-to-walk-from/2345194065561653/,gait
Lokomat,,N/A,N/A,https://www.facebook.com/fizyocare.int/videos/lokomat-is-a-technologically-advanced-robot-assisted-gait-training-device-as-the/299229485737389/,gait
Lokomat,,N/A,N/A,https://www.facebook.com/GlobalBC/videos/veterans-and-first-responders-in-bc-now-have-greater-access-to-the-lokomat-machi/545719913296859/,neurological
Lokomat,,N/A,N/A,https://www.facebook.com/summitmedicalandscientific/videos/wow-look-how-far-i-wentwith-the-hocoma-lokomatpro-children-like-preston-can-acce/631166074778937/,gait
Lokomat,,N/A,N/A,https://www.facebook.com/pushpushpray/posts/the-lokomat-is-a-driven-gait-orthosis-and-is-used-for-robotic-treadmill-training/1815057262069228/,gait
Lokomat,,N/A,N/A,https://www.facebook.com/neurohopewellness/videos/advanced-lokomat-training/255623800606574/,gait
Lokomat,,N/A,N/A,https://www.facebook.com/pmrdeptrmlims/videos/sneakpeek-one-of-worlds-most-advanced-gaitwalking-training-system-lokomat-pro-us/1062815537151432/,gait
