Instrument,Name,Email,Phone,Website,First Keyword
NeuroCom EquiTest,,N/A,N/A,https://www.facebook.com/nationaldizzyandbalancecenter/videos/at-ndbc-we-use-neurocoms-smart-equitest-computerized-dynamic-posturography-to-ob/255943468604159/,vestibular
NeuroCom SMART Balance Master,,N/A,N/A,https://www.facebook.com/dizzypt/videos/neurocom-balance-master-for-testing-training/10152735120932190/,vestibular
NeuroCom SMART Balance Master,,N/A,N/A,https://www.facebook.com/dizzypt/posts/d41d8cd9/10153653013897190/,vestibular
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/gsrehab/posts/following-a-concussion-or-other-brain-injury-it-is-common-to-experience-balance-/10157229839961934/,concussion
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/FGCURehabSciences/posts/over-the-weekend-the-pt-neuro-student-interest-group-visited-lee-health-coconut-/5752688518095307/,gait
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/bertecHQ/posts/featured-at-the-2019-concussion-health-summit-portable-essential-vision-trainer-/390828311585201/,concussion
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/FGCURehabSciences/posts/5752688518095307/,gait
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/missouristateu/videos/living-a-balanced-life/10155774024033716/,fall
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/UCRISE/videos/ucrise-launches-australian-first-balance-technology-to-knock-concussion/1937212059623638/,concussion
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/coronahillspt/videos/we-are-excited-to-announce-that-our-neurological-clinical-program-services-conti/438971101022900/,neurological
Bertec Balance Advantage,,N/A,N/A,https://www.facebook.com/balancegrille/videos/one-more-week-to-take-advantage-of-these-rewards-in-the-balance-grille-app-say-b/1853148288382015/,fall
Bertec Portable Essential,,N/A,N/A,https://www.facebook.com/360neurohealth/videos/bertec-sponsor-of-virtual-vestibular-health-summit/225746148741555/,vestibular
litegait,,N/A,N/A,https://www.facebook.com/litegait/videos/as-summer-comes-to-a-close-we-wanted-to-take-a-look-back-at-some-of-the-stand-ou/195758989158422/,gait
litegait,,N/A,N/A,https://www.facebook.com/litegait/videos/the-mobility-research-team-is-proud-to-welcome-these-facilities-to-the-litegait-/692259728567687/,gait
litegait,,N/A,N/A,https://www.facebook.com/litegait/videos/in-case-you-missed-it-heres-another-video-of-litegait-and-cyberdyne-inc-working-/10155369207783426/,gait
litegait,,N/A,N/A,https://www.facebook.com/litegait/videos/have-you-been-curious-about-the-litegait-system-and-how-it-can-help-your-facilit/271122224817847/,gait
litegait,,N/A,N/A,https://www.facebook.com/litegait/videos/from-supported-ambulation-to-sit-to-stand-assistance-to-seated-to-seated-transfe/460680331399042/,gait
litegait,,N/A,N/A,https://www.facebook.com/litegait/videos/now-this-is-how-to-cruise-into-a-new-week-litegait-was-made-to-be-versatile-lett/5296204043794204/,gait
litegait,,N/A,N/A,https://www.facebook.com/litegait/videos/tip-23-with-litegait-you-get-more-better-therapy-this-means-more-quality-of-prac/10154584164243426/,gait
litegait,,N/A,N/A,https://www.facebook.com/litegait/videos/have-you-been-curious-about-the-litegait-system-and-how-it-can-help-your-facilit/409185880070292/,gait
litegait,,N/A,N/A,https://www.facebook.com/litegait/videos/pt-month-tip-play-ballyou-can-use-litegait-for-more-than-gait-training-alone-the/530842051074437/,gait
litegait,,N/A,N/A,https://www.facebook.com/litegait/videos/have-you-been-curious-about-the-litegait-system-and-how-it-can-help-your-facilit/543681733352512/?m_entstream_source=video_home&player_suborigin=feed&player_format=permalink,gait
litegait,,N/A,N/A,https://www.facebook.com/REACTdallas/videos/corey-makin-it-happen-in-the-litegait-today-walkhard-workworkwork-beatparalysis-/1036677739737004/,gait
litegait,,N/A,N/A,https://www.facebook.com/nextsteporlando/videos/litegait/215618236205249/,gait
litegait,,N/A,N/A,https://www.facebook.com/weatherfordregionalhospital/videos/litegait/10154377351478309/,gait
litegait,,N/A,N/A,https://www.facebook.com/expathealthcarebySynphaet/posts/litegait-provides-postural-control-and-weight-bearing-assistance-for-fall-free-t/201050211675684/,gait
litegait,,N/A,N/A,https://zh-cn.facebook.com/LiteGaitGR/events/,gait
litegait,,N/A,N/A,https://www.facebook.com/PhysioFunction/videos/mikey-was-in-the-clinic-today-using-the-litegait-over-the-treadmill-obstacles-we/390810805836408/,gait
litegait,,N/A,N/A,https://www.facebook.com/PhysioFunction/videos/mikey-using-the-litegait-again-this-week-in-his-physiotherapy-session-claire-one/565795691198245/,gait
litegait,,N/A,N/A,https://www.facebook.com/babybuilders/videos/gait-training-using-the-litegait-device-partial-weight-bearing-you-have-come-a-l/10201887171514953/,gait
litegait,,N/A,N/A,https://www.facebook.com/HealthStudioExercisePhysiology/videos/-litegait-did-you-know-that-our-new-litegait-machine-is-the-only-community-based/618608262491510/,gait
litegait,,N/A,N/A,https://www.facebook.com/HealthStudioExercisePhysiology/videos/-litegait-did-you-know-that-our-new-litegait-machine-is-the-only-community-based/618608262491510/,gait
litegait,,N/A,N/A,https://www.facebook.com/HealthStudioExercisePhysiology/videos/-litegait-did-you-know-that-our-new-litegait-machine-is-the-only-community-based/618608262491510/,gait
